DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:42:34.167,716,0,20210105 02:42:34.167,1.22677,1.22673,1.22675,1.226784,1.226088,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:34.269,717,0,20210105 02:42:34.269,1.22675,1.22672,1.226735,1.226782,1.226088,1.226807,,,,,0,,,,,,,,
2021-01-05 02:42:34.422,718,0,20210105 02:42:34.422,1.22676,1.22672,1.22674,1.226781,1.226088,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:38.861,719,0,20210105 02:42:38.861,1.22677,1.22673,1.22675,1.226779,1.226089,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:38.963,720,0,20210105 02:42:38.963,1.22676,1.22673,1.226745,1.226778,1.226089,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:39.654,721,0,20210105 02:42:39.654,1.22676,1.22672,1.22674,1.226777,1.226089,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:39.857,722,0,20210105 02:42:39.857,1.22675,1.22671,1.22673,1.226775,1.22609,1.226806,,,,,0,,,,,,,,
2021-01-05 02:42:40.060,723,0,20210105 02:42:40.060,1.22674,1.22671,1.226725,1.226773,1.22609,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:40.162,724,0,20210105 02:42:40.162,1.22674,1.2267,1.22672,1.22677,1.22609,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:40.365,725,0,20210105 02:42:40.365,1.22673,1.2267,1.226715,1.226768,1.22609,1.226805,,,,,0,,,,,,,,
2021-01-05 02:42:40.466,726,0,20210105 02:42:40.466,1.22673,1.22669,1.22671,1.226765,1.226091,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:40.568,727,0,20210105 02:42:40.568,1.22672,1.22669,1.226705,1.226763,1.226091,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:40.721,728,0,20210105 02:42:40.721,1.22672,1.22668,1.2267,1.22676,1.226091,1.226804,,,,,0,,,,,,,,
2021-01-05 02:42:43.269,729,0,20210105 02:42:43.269,1.2267,1.22667,1.226685,1.226757,1.226092,1.226803,,,,,0,,,,,,,,
2021-01-05 02:42:44.141,730,0,20210105 02:42:44.141,1.2267,1.22666,1.22668,1.226754,1.226092,1.226803,,,,,0,,,,,,,,
2021-01-05 02:42:44.243,731,0,20210105 02:42:44.243,1.2267,1.22665,1.226675,1.226751,1.226092,1.226802,,,,,0,,,,,,,,
2021-01-05 02:42:45.369,732,0,20210105 02:42:45.369,1.2267,1.22666,1.22668,1.226748,1.226092,1.226802,,,,,0,,,,,,,,
2021-01-05 02:42:45.521,733,0,20210105 02:42:45.521,1.22671,1.22667,1.22669,1.226745,1.226093,1.226801,,,,,0,,,,,,,,
2021-01-05 02:42:47.203,734,0,20210105 02:42:47.203,1.22671,1.22666,1.226685,1.226743,1.226093,1.226801,,,,,0,,,,,,,,
2021-01-05 02:42:50.749,735,0,20210105 02:42:50.749,1.2267,1.22666,1.22668,1.22674,1.226093,1.2268,,,,,0,,,,,,,,
2021-01-05 02:42:51.540,736,0,20210105 02:42:51.540,1.22668,1.22667,1.226675,1.226737,1.226093,1.2268,,,,,0,,,,,,,,
2021-01-05 02:42:51.641,737,0,20210105 02:42:51.641,1.22669,1.22665,1.22667,1.226734,1.226094,1.226799,,,,,0,,,,,,,,
2021-01-05 02:42:51.794,738,0,20210105 02:42:51.794,1.22668,1.22664,1.22666,1.226731,1.226094,1.226799,,,1.22666,,0,,,,,,,,
2021-01-05 02:42:53.304,739,0,20210105 02:42:53.304,1.22668,1.22665,1.226665,1.226729,1.226094,1.226798,,,,,0,,,,,,,,
2021-01-05 02:42:54.202,740,0,20210105 02:42:54.202,1.22668,1.22664,1.22666,1.226726,1.226095,1.226798,,,,,0,,,,,,,,
2021-01-05 02:42:55.767,741,0,20210105 02:42:55.767,1.22669,1.22666,1.226675,1.226723,1.226095,1.226797,,,,,0,,,,,,,,
2021-01-05 02:42:55.868,742,0,20210105 02:42:55.868,1.2267,1.22666,1.22668,1.226721,1.226095,1.226797,,,,,0,,,,,,,,
2021-01-05 02:42:59.159,743,0,20210105 02:42:59.159,1.22669,1.22665,1.22667,1.226719,1.226095,1.226796,,,,,0,,,,,,,,
2021-01-05 02:42:59.262,744,0,20210105 02:42:59.262,1.22668,1.22665,1.226665,1.226717,1.226096,1.226795,,,,,0,,,,,,,,
2021-01-05 02:42:59.415,745,0,20210105 02:42:59.415,1.2267,1.22666,1.22668,1.226715,1.226096,1.226795,,,,,0,,,,,,,,
2021-01-05 02:42:59.567,746,0,20210105 02:42:59.567,1.22669,1.22666,1.226675,1.226713,1.226096,1.226794,,,,,0,,,,,,,,
2021-01-05 02:42:59.669,747,0,20210105 02:42:59.669,1.2267,1.22666,1.22668,1.226712,1.226096,1.226794,,,,1.22668,0,,,,,,,,
2021-01-05 02:43:02.958,748,0,20210105 02:43:02.958,1.22671,1.22666,1.226685,1.22671,1.226097,1.226793,1.226685,,1.226685,,0,,,,,,,,
2021-01-05 02:43:03.060,749,0,20210105 02:43:03.060,1.22672,1.22667,1.226695,1.226709,1.226097,1.226793,,,,,0,,,,,,,,
2021-01-05 02:43:03.480,750,0,20210105 02:43:03.480,1.22672,1.22668,1.2267,1.226709,1.226097,1.226793,,,,,0,,,,,,,,
2021-01-05 02:43:03.581,751,0,20210105 02:43:03.581,1.22673,1.22668,1.226705,1.226708,1.226098,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:03.683,752,0,20210105 02:43:03.683,1.22673,1.22669,1.22671,1.226708,1.226098,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:03.734,753,0,20210105 02:43:03.734,1.22675,1.2267,1.226725,1.226708,1.226098,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:04.656,754,0,20210105 02:43:04.656,1.22675,1.22671,1.22673,1.226708,1.226098,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:06.365,755,0,20210105 02:43:06.365,1.22676,1.22671,1.226735,1.226709,1.226099,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:06.467,756,0,20210105 02:43:06.467,1.22676,1.22672,1.22674,1.22671,1.226099,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:08.240,757,0,20210105 02:43:08.240,1.22675,1.22674,1.226745,1.226711,1.226099,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:08.951,758,0,20210105 02:43:08.951,1.22677,1.22673,1.22675,1.226712,1.2261,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:09.831,759,0,20210105 02:43:09.831,1.22677,1.22672,1.226745,1.226713,1.2261,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:10.958,760,0,20210105 02:43:10.958,1.22676,1.22672,1.22674,1.226714,1.2261,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:11.059,761,0,20210105 02:43:11.059,1.22677,1.22672,1.226745,1.226715,1.2261,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:11.382,762,0,20210105 02:43:11.382,1.22676,1.22672,1.22674,1.226715,1.226101,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:11.686,763,0,20210105 02:43:11.686,1.22676,1.22671,1.226735,1.226716,1.226101,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:12.556,764,0,20210105 02:43:12.556,1.22676,1.22672,1.22674,1.226716,1.226101,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:13.197,765,0,20210105 02:43:13.197,1.22677,1.22672,1.226745,1.226717,1.226102,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:13.298,766,0,20210105 02:43:13.298,1.22677,1.22673,1.22675,1.226718,1.226102,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:13.450,767,0,20210105 02:43:13.450,1.22678,1.22673,1.226755,1.226719,1.226102,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:14.217,768,0,20210105 02:43:14.217,1.22678,1.22674,1.22676,1.22672,1.226102,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:14.470,769,0,20210105 02:43:14.470,1.22679,1.22675,1.22677,1.226721,1.226103,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:15.787,770,0,20210105 02:43:15.787,1.2268,1.22677,1.226785,1.226724,1.226103,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:15.890,771,0,20210105 02:43:15.890,1.22682,1.22678,1.2268,1.226726,1.226103,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:16.194,772,0,20210105 02:43:16.194,1.22682,1.22677,1.226795,1.226728,1.226104,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:17.136,773,0,20210105 02:43:17.136,1.22682,1.22678,1.2268,1.226731,1.226104,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:17.237,774,0,20210105 02:43:17.237,1.22682,1.22679,1.226805,1.226734,1.226104,1.22679,,,,,0,,,,,,,,
2021-01-05 02:43:17.541,775,0,20210105 02:43:17.541,1.22682,1.22678,1.2268,1.226736,1.226105,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:17.643,776,0,20210105 02:43:17.643,1.22683,1.22678,1.226805,1.226738,1.226105,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:17.744,777,0,20210105 02:43:17.744,1.22682,1.22678,1.2268,1.226741,1.226105,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:18.674,778,0,20210105 02:43:18.674,1.22683,1.22678,1.226805,1.226743,1.226106,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:20.935,779,0,20210105 02:43:20.935,1.22682,1.22678,1.2268,1.226745,1.226106,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:21.051,780,0,20210105 02:43:21.051,1.22682,1.22679,1.226805,1.226748,1.226106,1.226791,,,,,0,,,,,,,,
2021-01-05 02:43:21.759,781,0,20210105 02:43:21.759,1.22682,1.22678,1.2268,1.22675,1.226107,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:26.101,782,0,20210105 02:43:26.101,1.22683,1.22678,1.226805,1.226752,1.226107,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:29.044,783,0,20210105 02:43:29.044,1.22683,1.22679,1.22681,1.226754,1.226107,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:29.145,784,0,20210105 02:43:29.145,1.22683,1.2268,1.226815,1.226757,1.226108,1.226792,,,,,0,,,,,,,,
2021-01-05 02:43:29.247,785,0,20210105 02:43:29.247,1.22684,1.22681,1.226825,1.226759,1.226108,1.226792,,1.226825,,,0,,,,,,,,
2021-01-05 02:43:29.349,786,0,20210105 02:43:29.349,1.22684,1.2268,1.22682,1.226762,1.226108,1.226793,,,,,0,,,,,,,,
2021-01-05 02:43:29.452,787,0,20210105 02:43:29.452,1.22683,1.2268,1.226815,1.226764,1.226108,1.226793,,,,,0,,,,,,,,
2021-01-05 02:43:29.758,788,0,20210105 02:43:29.758,1.22683,1.22678,1.226805,1.226766,1.226109,1.226793,,,,,0,,,,,,,,
